dose	tissue	animal	PK	RNA
3	thalamus	1	0.087	1.046535
3	thalamus	2	0.102	1.098167
3	thalamus	3		
3	thalamus	4	0.078	0.8537682
10	thalamus	1	0.295	0.6274856
10	thalamus	2	0.204	0.929356
10	thalamus	3	0.172	0.897744
10	thalamus	4	0.202	0.7167578
30	thalamus	1	0.986	0.5892625
30	thalamus	2	0.529	0.7680591
30	thalamus	3	1.24	0.4663414
30	thalamus	4	0.912	0.5375776
100	thalamus	1	3.043	0.2032659
100	thalamus	2	3.195	0.34809130000000005
100	thalamus	3	3.378	0.2791872
100	thalamus	4	2.391	0.2611561
300	thalamus	1	9.581	0.1216047
300	thalamus	2	6.399	0.08554563
300	thalamus	3	7.285	0.2381521
300	thalamus	4	7.554	0.09026125
700	thalamus	1	18.637	0.05372539
700	thalamus	2	25.266	0.1509201
700	thalamus	3	12.978	0.060265849999999996
700	thalamus	4	17.341	0.06748743
1	hypothalamus	1	0.232	0.9123215
1	hypothalamus	2	0.081	0.844751
1	hypothalamus	3		
1	hypothalamus	4	0.049	1.027169
3	hypothalamus	1	0.322	0.9497774
3	hypothalamus	2	0.349	0.9641791000000001
3	hypothalamus	3	0.563	0.5650196
3	hypothalamus	4	0.347	0.6865239
10	hypothalamus	1	0.767	0.7364552999999999
10	hypothalamus	2	0.656	0.5038830999999999
10	hypothalamus	3	0.58	0.5459544000000001
10	hypothalamus	4	0.882	0.6212999
30	hypothalamus	1	1.701	0.2471484
30	hypothalamus	2	1.398	0.2721817
30	hypothalamus	3	0.756	0.7318934
30	hypothalamus	4	2.429	0.2948475
100	hypothalamus	1	3.058	0.479796
100	hypothalamus	2	3.544	0.2419761
100	hypothalamus	3	5.297	0.14365830000000002
100	hypothalamus	4	5.005	0.2008505
300	hypothalamus	1	9.764	0.07541128
300	hypothalamus	2	13.49	0.1115076
300	hypothalamus	3	10.163	0.06281734
300	hypothalamus	4	10.282	0.1015584
700	hypothalamus	1	15.478	0.04636879000000001
700	hypothalamus	2	22.464	0.07185878
700	hypothalamus	3	20.928	0.09381659
700	hypothalamus	4	10.552	0.08896498
