region	animal	qpcr
Cervical Cord	1501	0.9922822021566181
Cervical Cord	1502	1.007717797843382
Cervical Cord	2501	0.23481858568327552
Cervical Cord	2502	0.0983132100517781
Cervical Cord	2503	0.06307326513945795
Cervical Cord	2504	0.0762573751624855
Thoracic cord	1501	1.0365475238153783
Thoracic cord	1502	0.9634524761846219
Thoracic cord	2501	0.11116236271866933
Thoracic cord	2502	0.08729210074054042
Thoracic cord	2503	0.07278545774651003
Thoracic cord	2504	0.07501794784276969
Lumbar Cord	1501	0.9058136767477574
Lumbar Cord	1502	1.0941863232522429
Lumbar Cord	2501	0.11119275765233869
Lumbar Cord	2502	0.08775935095797602
Lumbar Cord	2503	0.07607174094356633
Lumbar Cord	2504	0.0958396135562984
Frontal cortex	1501	0.953561693102112
Frontal cortex	1502	1.0464383068978882
Frontal cortex	2501	0.2567306260266892
Frontal cortex	2502	0.09530844268197428
Frontal cortex	2503	0.09036543505523759
Frontal cortex	2504	0.16921821167327308
Basal forbrain nuclei	1501	0.9950637975788801
Basal forbrain nuclei	1502	1.0049362024211197
Basal forbrain nuclei	2501	0.33374997114309585
Basal forbrain nuclei	2502	0.08326049463183435
Basal forbrain nuclei	2503	0.04426736721462761
Basal forbrain nuclei	2504	0.06470553199528253
Corpus callosum	1501	0.9639326749521142
Corpus callosum	1502	1.0360673250478858
Corpus callosum	2501	0.28266972394100204
Corpus callosum	2502	0.143939126666118
Corpus callosum	2503	0.17255957741759612
Corpus callosum	2504	0.2357069206981768
Caudate	1501	1.1399199437645704
Caudate	1502	0.8600800562354297
Caudate	2501	0.3195617483489033
Caudate	2502	0.4770377334076374
Caudate	2503	0.585417420049212
Caudate	2504	0.4262116700054667
Putamen	1501	0.8424481507271137
Putamen	1502	1.1575518492728865
Putamen	2501	0.9214919255510757
Putamen	2502	0.7722257851553471
Putamen	2503	0.5431921578509136
Putamen	2504	0.7040000337551575
Amygdala	1501	0.9501063753968598
Amygdala	1502	1.04989362460314
Amygdala	2501	0.34603178979789173
Amygdala	2502	0.14733111739352756
Amygdala	2503	0.15134788330476848
Amygdala	2504	0.20070515075832168
Motor cortex	1501	1.137321755145311
Motor cortex	1502	0.8626782448546888
Motor cortex	2501	0.2389342740889707
Motor cortex	2502	0.19911504561603985
Motor cortex	2503	0.2655187332131597
Motor cortex	2504	0.09597995839762664
Insular cortex	1501	1.0153920086613717
Insular cortex	1502	0.9846079913386283
Insular cortex	2501	0.18149385614121605
Insular cortex	2502	0.09662382285675283
Insular cortex	2503	0.06845212556635889
Insular cortex	2504	0.11250601677129378
Globus palidus	1501	1.0729133385287375
Globus palidus	1502	0.9270866614712628
Globus palidus	2501	0.6137502171804898
Globus palidus	2502	0.5970326843314132
Globus palidus	2503	0.8875349713025646
Globus palidus	2504	0.6025327083953887
Thalamus VA/VL	1501	1.0556596716234459
Thalamus VA/VL	1502	0.9443403283765541
Thalamus VA/VL	2501	0.7724460425205444
Thalamus VA/VL	2502	0.5179731763357007
Thalamus VA/VL	2503	0.4122378521463938
Thalamus VA/VL	2504	0.3806336317472932
Hypothalamus	1501	0.9854322112854785
Hypothalamus	1502	1.0145677887145215
Hypothalamus	2501	0.4890506555164256
Hypothalamus	2502	0.11115406365192061
Hypothalamus	2503	0.14148398222752226
Hypothalamus	2504	0.11432231150351432
