dose	tissue	animal	PK	RNA
10	cervical cord	1	0.470924	0.5073232
10	cervical cord	2	0.303959	0.823214
10	cervical cord	3	0.081915	1.014557
10	cervical cord	4	0.104794	0.6809843
30	cervical cord	1	0.70215	0.6025535
30	cervical cord	2	0.047579	0.6001479
30	cervical cord	3	0.13665	0.8245018000000001
30	cervical cord	4	0.420047	0.6345509
100	cervical cord	1	0.193803	0.40276110000000004
100	cervical cord	2	1.129225	0.20267219999999997
100	cervical cord	3	1.278304	0.14972950000000002
100	cervical cord	4	1.394922	0.3079579
300	cervical cord	1	1.833879	0.07133102
300	cervical cord	2	2.591416	0.0623081
300	cervical cord	3		
300	cervical cord	4	2.198364	0.1079121
1000	cervical cord	1	6.188396	0.04220193
1000	cervical cord	2	8.182423	0.048763139999999996
1000	cervical cord	3	7.259945	0.051410330000000004
1000	cervical cord	4	7.361734	0.08625229
3000	cervical cord	1	36.1428	0.059148120000000005
3000	cervical cord	2	19.2669	0.03666014
3000	cervical cord	3	18.5601	0.046479290000000006
3000	cervical cord	4		
10	thoracic cord	1	0.595763	0.1709815
10	thoracic cord	2	1.237899	0.47496879999999997
10	thoracic cord	3	0.046531	0.6829123
10	thoracic cord	4	0.779173	0.2865973
30	thoracic cord	1	2.908762	0.4818986
30	thoracic cord	2	0.548126	0.24226299999999998
30	thoracic cord	3	0.272091	0.7689876999999999
30	thoracic cord	4	1.357864	0.3001418
100	thoracic cord	1	3.173443	0.10155810000000001
100	thoracic cord	2	3.934936	0.0902224
100	thoracic cord	3	5.755834	0.10257540000000001
100	thoracic cord	4	4.409691	0.1045649
300	thoracic cord	1	9.947367	0.05414163
300	thoracic cord	2	12.14401	0.05296265
300	thoracic cord	3		
300	thoracic cord	4	5.633504	0.043594049999999995
1000	thoracic cord	1	26.5807	0.029791579999999998
1000	thoracic cord	2	13.15025	0.04553514
1000	thoracic cord	3	14.94938	0.03958336
1000	thoracic cord	4	11.76911	0.05767353
3000	thoracic cord	1	60.28614	0.02126493
3000	thoracic cord	2	25.85881	0.02179622
3000	thoracic cord	3	29.70808	0.01798466
3000	thoracic cord	4		
10	lumbar cord	1	0.847125	0.5690334
10	lumbar cord	2	1.302681	0.3847881
10	lumbar cord	3	0.108106	1.149808
10	lumbar cord	4	1.025684	0.284432
30	lumbar cord	1	4.004763	0.2120718
30	lumbar cord	2	1.137748	0.5413695
30	lumbar cord	3	0.622177	0.6853336
30	lumbar cord	4	1.610635	0.4526032
100	lumbar cord	1	5.584387	0.4136878
100	lumbar cord	2	8.237171	0.22071439999999998
100	lumbar cord	3	8.917482	0.29316210000000004
100	lumbar cord	4	9.397932	0.1961361
300	lumbar cord	1	15.61475	0.15049379999999998
300	lumbar cord	2	19.12228	0.2186196
300	lumbar cord	3		
300	lumbar cord	4	15.72561	0.1544202
1000	lumbar cord	1	38.63241	0.1425483
1000	lumbar cord	2	23.66872	0.2063523
1000	lumbar cord	3	30.62797	0.1012972
1000	lumbar cord	4	42.13549	0.1198821
3000	lumbar cord	1	57.6418	0.1041621
3000	lumbar cord	2	46.14607	0.1688006
3000	lumbar cord	3	62.67462	0.07488662
3000	lumbar cord	4		
10	cortex 1	1	0.116332	0.9364439
10	cortex 1	2	0.08863	0.8668309999999999
10	cortex 1	3		
10	cortex 1	4		
30	cortex 1	1		
30	cortex 1	2	0.082811	0.6984762999999999
30	cortex 1	3	0.059001	0.4289969
30	cortex 1	4	0.112931	0.5390773
100	cortex 1	1		
100	cortex 1	2	0.271315	0.4195238
100	cortex 1	3	0.485493	0.32965380000000005
100	cortex 1	4		
300	cortex 1	1	0.678375	0.1273942
300	cortex 1	2	0.998621	0.2683271
300	cortex 1	3		
300	cortex 1	4	1.14189	0.18594750000000002
1000	cortex 1	1	9.382541	0.14305669999999998
1000	cortex 1	2	2.393952	0.15585279999999999
