dose	tissue	animal	PK	RNA
1000	cortex 1	3	5.765112	0.135053
1000	cortex 1	4	1.331659	0.110793
3000	cortex 1	1	17.8924	0.1426431
3000	cortex 1	2	7.636137	0.02690963
3000	cortex 1	3	8.384778	0.06871747
3000	cortex 1	4		
10	cortex 2	1	0.217852	0.4969974
10	cortex 2	2		
10	cortex 2	3		
10	cortex 2	4		
30	cortex 2	1	0.088395	0.46199399999999996
30	cortex 2	2		
30	cortex 2	3		
30	cortex 2	4		
100	cortex 2	1	0.046666	0.45705150000000005
100	cortex 2	2	0.111222	0.7956376000000001
100	cortex 2	3	0.305469	0.30244340000000003
100	cortex 2	4	0.076585	0.45878860000000005
300	cortex 2	1	0.421143	0.18036480000000002
300	cortex 2	2	0.213191	0.2424175
300	cortex 2	3		
300	cortex 2	4	0.403031	0.2958147
1000	cortex 2	1	1.94502	0.14736570000000002
1000	cortex 2	2	0.62083	0.1500659
1000	cortex 2	3	1.484951	0.200029
1000	cortex 2	4	0.718048	0.17129930000000002
3000	cortex 2	1	6.988622	0.034036409999999996
3000	cortex 2	2	4.945423	0.09194036
3000	cortex 2	3	4.470498	0.03856015
3000	cortex 2	4		
10	cortex 3	1	0.026784	1.1120510000000001
10	cortex 3	2	0.062396	1.0368819999999999
10	cortex 3	3		
10	cortex 3	4		
30	cortex 3	1	0.04314	0.8352907
30	cortex 3	2		
30	cortex 3	3		
30	cortex 3	4		
100	cortex 3	1		
100	cortex 3	2	0.119285	0.4131207
100	cortex 3	3	0.381302	0.760849
100	cortex 3	4	0.096702	0.6785605
300	cortex 3	1	0.364486	0.5829011
300	cortex 3	2	0.147459	0.2454926
300	cortex 3	3		
300	cortex 3	4	0.440279	0.5794243
1000	cortex 3	1	1.474753	0.2725705
1000	cortex 3	2	1.056571	0.6797824
1000	cortex 3	3	2.163631	0.29663419999999996
1000	cortex 3	4	0.555327	0.24208960000000002
3000	cortex 3	1	7.958843	0.09583188
3000	cortex 3	2	3.537989	0.1162338
3000	cortex 3	3	3.101045	0.23095410000000002
3000	cortex 3	4		
10	cortex 4	1		
10	cortex 4	2		
10	cortex 4	3		
10	cortex 4	4	0.081753	0.8456738
30	cortex 4	1	0.186189	0.5210945
30	cortex 4	2		
30	cortex 4	3	0.186222	0.7616162
30	cortex 4	4	0.063748	0.7752168
100	cortex 4	1	0.352721	0.790758
100	cortex 4	2	0.092566	0.7662758
100	cortex 4	3	3.962512	0.6661601
100	cortex 4	4		
300	cortex 4	1	2.373461	0.1830833
300	cortex 4	2	0.433963	0.08982150000000001
300	cortex 4	3		
300	cortex 4	4	1.191313	0.2805773
1000	cortex 4	1	4.758645	0.1218197
1000	cortex 4	2	3.498105	0.3911803
1000	cortex 4	3	2.260489	0.365559
1000	cortex 4	4	2.342263	0.2373894
3000	cortex 4	1	12.63464	0.047100790000000003
3000	cortex 4	2	12.28189	0.1012036
3000	cortex 4	3	14.05229	0.126564
3000	cortex 4	4		
10	brainstem	1	0.121518	0.9890864
10	brainstem	2	0.262664	1.026658
10	brainstem	3	0.027178	0.9662622000000001
10	brainstem	4	0.29471	0.7717779
30	brainstem	1		
30	brainstem	2	0.118812	0.754492
30	brainstem	3	0.068315	0.9242873
30	brainstem	4	0.198691	0.8574676
100	brainstem	1		
100	brainstem	2	0.636558	0.8201425999999999
100	brainstem	3	1.156313	0.2887505
100	brainstem	4	0.554984	0.2230243
300	brainstem	1	1.988401	0.05481381
300	brainstem	2	1.697061	0.08450364
300	brainstem	3		
300	brainstem	4	1.787207	0.34831850000000003
1000	brainstem	1	4.480036	0.08259578
1000	brainstem	2	2.207718	0.11503500000000001
1000	brainstem	3	4.062573	0.09466412
1000	brainstem	4	1.450444	0.2512171
3000	brainstem	1	10.27826	0.04831771
3000	brainstem	2	12.16198	0.05562765
3000	brainstem	3	10.74768	0.07965498
3000	brainstem	4		
10	cerebellum	1		
10	cerebellum	2	0.489846	0.727959
10	cerebellum	3		
10	cerebellum	4	0.849436	0.7534732
30	cerebellum	1	0.560053	1.07836
30	cerebellum	2	0.087737	0.9672567999999999
30	cerebellum	3	0.039902	0.7364892999999999
30	cerebellum	4		
100	cerebellum	1	0.092063	0.8850434
100	cerebellum	2	0.412075	0.7223258
100	cerebellum	3	1.869098	0.7878404999999999
100	cerebellum	4	0.946111	0.9575724999999999
300	cerebellum	1	0.906	0.5480462
300	cerebellum	2	1.101215	0.5590946
300	cerebellum	3		
300	cerebellum	4	4.890396	0.6572548
1000	cerebellum	1	1.71366	0.4564907
1000	cerebellum	2	5.285413	0.5242018
1000	cerebellum	3	4.14655	0.3999611
1000	cerebellum	4	0.223425	0.5427491
3000	cerebellum	1	10.36569	0.3496859
3000	cerebellum	2	3.977046	0.3100426
3000	cerebellum	3	15.12448	0.32786279999999995
3000	cerebellum	4		
10	hippocampus	1	0.044829	0.6154504
10	hippocampus	2	0.100047	0.9044387999999999
10	hippocampus	3	0.033914	0.9931323000000001
10	hippocampus	4	0.051988	0.473866
30	hippocampus	1	0.166351	0.7256914000000001
30	hippocampus	2	0.165457	0.6350453
30	hippocampus	3		
30	hippocampus	4	0.105073	0.5435354
100	hippocampus	1	0.287921	0.4902884
100	hippocampus	2	1.218539	0.3347019
100	hippocampus	3	1.00882	0.5020962999999999
100	hippocampus	4	0.153975	0.5781717
300	hippocampus	1	2.969939	0.1293558
300	hippocampus	2	2.241253	0.1688161
300	hippocampus	3		
300	hippocampus	4	1.6130660000000001	0.4337647
1000	hippocampus	1	11.50035	0.08847817
1000	hippocampus	2	1.819713	0.08739891
1000	hippocampus	3	1.921126	0.09228149000000001
1000	hippocampus	4	3.554469	0.2006136
3000	hippocampus	1	4.422382	0.048544580000000004
3000	hippocampus	2	8.509692	0.04316195
3000	hippocampus	3	8.3103	0.04875821
3000	hippocampus	4		
10	thalamus	1	0.458264	0.48546300000000003
10	thalamus	2		
10	thalamus	3	0.04467	1.1174030000000001
10	thalamus	4		
30	thalamus	1	0.402645	0.8225096000000001
30	thalamus	2	0.50284	0.7811278
30	thalamus	3	0.070587	0.8250039
30	thalamus	4	0.213336	0.9481357
100	thalamus	1	0.224753	0.6885276
100	thalamus	2	1.969095	0.5628657
100	thalamus	3	3.320653	0.6824429000000001
100	thalamus	4	0.259901	0.7292280999999999
300	thalamus	1	2.086488	0.273289
300	thalamus	2	2.068511	0.5100469
300	thalamus	3		
300	thalamus	4	2.805509	0.5437554
1000	thalamus	1	2.593556	0.1162144
1000	thalamus	2	3.618445	0.471148
1000	thalamus	3	2.645303	0.24736329999999998
1000	thalamus	4	12.82049	0.5249368
3000	thalamus	1	10.0071	0.061950580000000005
3000	thalamus	2	24.49353	0.059197269999999996
3000	thalamus	3	9.702445	0.060576809999999995
3000	thalamus	4		
10	hypothalamus	1	0.358118	0.4948088
10	hypothalamus	2	1.684601	0.8146452
10	hypothalamus	3	0.097178	1.098027
10	hypothalamus	4	0.599155	0.589267
30	hypothalamus	1	1.694222	0.8134447
30	hypothalamus	2	0.587441	0.6920483000000001
30	hypothalamus	3	0.117667	0.707527
30	hypothalamus	4	1.299236	0.7595337999999999
100	hypothalamus	1	1.159096	0.8933834
100	hypothalamus	2	6.034899	0.4558297
100	hypothalamus	3	2.565501	0.36866909999999997
100	hypothalamus	4	3.980292	0.5577946
300	hypothalamus	1	20.41312	0.24509499999999998
300	hypothalamus	2	7.65032	0.2748521
300	hypothalamus	3		
300	hypothalamus	4	5.37483	0.4722651
1000	hypothalamus	1	47.59281	0.1368766
1000	hypothalamus	2	11.70354	0.190245
1000	hypothalamus	3	15.56107	0.1565819
1000	hypothalamus	4	24.74128	0.5968366
3000	hypothalamus	1	75.97623	0.059711179999999996
3000	hypothalamus	2	53.06005	0.05527914
3000	hypothalamus	3	44.65588	0.08381896
3000	hypothalamus	4		
10	striatum	1		
10	striatum	2		
10	striatum	3		
10	striatum	4		
30	striatum	1		
30	striatum	2		
30	striatum	3		
30	striatum	4		
100	striatum	1		
100	striatum	2		
100	striatum	3	0.118438	0.6965874
100	striatum	4		
300	striatum	1	0.792952	0.6564557999999999
300	striatum	2	0.56746	0.6413911
300	striatum	3		
300	striatum	4		
1000	striatum	1	2.70661	0.886933
1000	striatum	2	0.562552	0.5488441000000001
1000	striatum	3		
1000	striatum	4	0.296311	0.9932983
3000	striatum	1	4.041193	0.655018
3000	striatum	2	2.13284	0.5644409
3000	striatum	3	3.253098	0.6864073
3000	striatum	4		
