region	y	ylab	color	mean	l95	u95
putamen	9	snRNAseq all	#FF00FF	0.7491958159070529	0.3786989549726308	1.119692676841475
putamen	10	bulk qPCR	#FF00FF	0.7352274755781234	0.5814025180136378	0.889052433142609
