meta_region	animal	qpcr	treatment
temporal cortex	2501	0.33420626048936514	Malat1 ASO
temporal cortex	2502	0.11522338675254312	Malat1 ASO
temporal cortex	2503	0.06421214646601095	Malat1 ASO
temporal cortex	2504	0.093559051343153	Malat1 ASO
thalamus	2501	0.4649496144500605	Malat1 ASO
thalamus	2502	0.39115183060084613	Malat1 ASO
thalamus	2503	0.2700747017621952	Malat1 ASO
thalamus	2504	0.22852990515784077	Malat1 ASO
thoracic cord	2501	0.11116236271866932	Malat1 ASO
thoracic cord	2502	0.08729210074054042	Malat1 ASO
thoracic cord	2503	0.07278545774651003	Malat1 ASO
thoracic cord	2504	0.07501794784276969	Malat1 ASO
